Date,Heartrate
2019-10-21 14:30:01,70
2019-10-21 14:30:02,71
2019-10-21 14:30:03,72
2019-10-21 14:30:08,72
2019-10-21 14:30:13,72
2019-10-21 14:30:17,74
2019-10-21 14:30:19,73
2019-10-21 14:30:22,74
2019-10-21 14:30:23,75
2019-10-21 14:30:28,75
2019-10-21 14:30:30,74
2019-10-21 14:30:31,73
2019-10-21 14:30:34,71
2019-10-21 14:30:36,70
2019-10-21 14:30:41,70
2019-10-21 14:30:46,71
2019-10-21 14:30:47,72
2019-10-21 14:30:48,74
2019-10-21 14:30:50,75
2019-10-21 14:30:55,75
2019-10-21 14:30:58,74
2019-10-21 14:30:59,73
2019-10-21 14:31:02,71
2019-10-21 14:31:03,72
2019-10-21 14:31:06,74
2019-10-21 14:31:07,70
2019-10-21 14:31:08,73
2019-10-21 14:31:09,74
2019-10-21 14:31:10,75
2019-10-21 14:31:17,76
2019-10-21 14:31:18,77
2019-10-21 14:31:19,84
2019-10-21 14:31:20,77
2019-10-21 14:31:21,76
2019-10-21 14:31:23,69
2019-10-21 14:31:24,65
2019-10-21 14:31:25,72
2019-10-21 14:31:26,77
2019-10-21 14:31:28,79
2019-10-21 14:31:31,77
2019-10-21 14:31:34,84
2019-10-21 14:31:35,81
2019-10-21 14:31:36,80
2019-10-21 14:31:37,79
2019-10-21 14:31:39,77
2019-10-21 14:31:40,76
2019-10-21 14:31:41,74
2019-10-21 14:31:42,73
2019-10-21 14:31:45,71
2019-10-21 14:31:46,70
2019-10-21 14:31:51,68
2019-10-21 14:31:52,67
2019-10-21 14:31:56,71
2019-10-21 14:31:57,75
2019-10-21 14:31:58,77
2019-10-21 14:31:59,76
2019-10-21 14:32:04,74
2019-10-21 14:32:06,72
2019-10-21 14:32:07,73
2019-10-21 14:32:08,71
2019-10-21 14:32:09,69
2019-10-21 14:32:10,74
2019-10-21 14:32:12,76
2019-10-21 14:32:13,77
2019-10-21 14:32:14,76
2019-10-21 14:32:15,79
2019-10-21 14:32:17,80
2019-10-21 14:32:18,81
2019-10-21 14:32:19,79
2019-10-21 14:32:20,82
2019-10-21 14:32:22,83
2019-10-21 14:32:23,84
2019-10-21 14:32:24,77
2019-10-21 14:32:25,72
2019-10-21 14:32:26,71
2019-10-21 14:32:28,70
2019-10-21 14:32:29,71
2019-10-21 14:32:30,73
2019-10-21 14:32:31,74
2019-10-21 14:32:33,75
2019-10-21 14:32:34,77
2019-10-21 14:32:35,79
2019-10-21 14:32:37,80
2019-10-21 14:32:39,81
2019-10-21 14:32:41,83
2019-10-21 14:32:42,82
2019-10-21 14:32:47,82
2019-10-21 14:32:49,80
2019-10-21 14:32:50,81
2019-10-21 14:32:53,74
2019-10-21 14:32:55,78
2019-10-21 14:32:56,80
2019-10-21 14:32:57,79
2019-10-21 14:33:00,77
2019-10-21 14:33:01,76
2019-10-21 14:33:04,77
2019-10-21 14:33:06,79
2019-10-21 14:33:07,80
2019-10-21 14:33:08,81
2019-10-21 14:33:13,81
2019-10-21 14:33:18,81
2019-10-21 14:33:19,80
2019-10-21 14:33:20,79
2019-10-21 14:33:25,79
2019-10-21 14:33:29,80
2019-10-21 14:33:30,81
2019-10-21 14:33:31,80
2019-10-21 14:33:33,79
2019-10-21 14:33:34,77
2019-10-21 14:33:35,76
2019-10-21 14:33:37,77
2019-10-21 14:33:40,78
2019-10-21 14:33:45,78
2019-10-21 14:33:47,74
2019-10-21 14:33:49,76
2019-10-21 14:33:50,82
2019-10-21 14:33:51,76
2019-10-21 14:33:52,74
2019-10-21 14:33:53,72
2019-10-21 14:33:55,69
2019-10-21 14:33:59,71
2019-10-21 14:34:01,70
2019-10-21 14:34:02,66
2019-10-21 14:34:03,61
2019-10-21 14:34:04,58
2019-10-21 14:34:08,64
2019-10-21 14:34:09,67
2019-10-21 14:34:11,68
2019-10-21 14:34:12,69
2019-10-21 14:34:13,71
2019-10-21 14:34:14,73
2019-10-21 14:34:15,74
2019-10-21 14:34:17,76
2019-10-21 14:34:18,79
2019-10-21 14:34:19,82
2019-10-21 14:34:20,83
2019-10-21 14:34:22,84
2019-10-21 14:34:23,86
2019-10-21 14:34:24,79
2019-10-21 14:34:25,77
2019-10-21 14:34:26,76
2019-10-21 14:34:30,75
2019-10-21 14:34:31,78
2019-10-21 14:34:33,80
2019-10-21 14:34:34,81
2019-10-21 14:34:36,74
2019-10-21 14:34:37,73
2019-10-21 14:34:39,66
2019-10-21 14:34:40,61
2019-10-21 14:34:41,60
2019-10-21 14:34:42,58
2019-10-21 14:34:44,55
2019-10-21 14:34:45,58
2019-10-21 14:34:46,61
2019-10-21 14:34:47,62
2019-10-21 14:34:48,69
2019-10-21 14:34:51,70
2019-10-21 14:34:52,71
2019-10-21 14:34:53,78
2019-10-21 14:34:55,71
2019-10-21 14:34:56,76
2019-10-21 14:34:57,79
2019-10-21 14:34:58,80
2019-10-21 14:35:00,82
2019-10-21 14:35:01,83
2019-10-21 14:35:02,84
2019-10-21 14:35:07,84
2019-10-21 14:35:08,89
2019-10-21 14:35:09,91
2019-10-21 14:35:11,89
2019-10-21 14:35:12,90
2019-10-21 14:35:14,89
2019-10-21 14:35:16,90
2019-10-21 14:35:17,89
