Date               ,Heartrate
2019-10-21 13:02:24,78
2019-10-21 13:02:37,115
2019-10-21 13:03:40,69
2019-10-21 13:04:36,61
2019-10-21 13:06:42,74
2019-10-21 13:08:40,73
2019-10-21 13:11:35,66
2019-10-21 13:11:36,70
2019-10-21 13:11:38,72
2019-10-21 13:11:40,73
2019-10-21 13:11:41,73
2019-10-21 13:11:43,74
2019-10-21 13:11:44,74
2019-10-21 13:11:46,74
2019-10-21 13:12:34,73
2019-10-21 13:12:35,73
2019-10-21 13:12:36,73
2019-10-21 13:12:47,72
2019-10-21 13:12:48,72
2019-10-21 13:13:01,72
2019-10-21 13:13:18,73
2019-10-21 13:13:24,73
2019-10-21 13:14:01,73
2019-10-21 13:14:06,73
2019-10-21 13:14:22,73
2019-10-21 13:14:41,73
2019-10-21 13:15:21,73
2019-10-21 13:15:22,73
2019-10-21 13:15:25,73
2019-10-21 13:15:30,73
2019-10-21 13:15:38,74
2019-10-21 13:15:45,74
2019-10-21 13:15:47,73
2019-10-21 13:16:18,73
2019-10-21 13:16:19,73
2019-10-21 13:16:42,73
2019-10-21 13:16:43,74
2019-10-21 13:17:00,73
2019-10-21 13:17:06,73
2019-10-21 13:17:14,73
2019-10-21 13:17:23,73
2019-10-21 13:17:24,73
2019-10-21 13:17:29,73
2019-10-21 13:17:38,73
2019-10-21 13:18:09,72
2019-10-21 13:18:10,71
2019-10-21 13:18:12,72
2019-10-21 13:18:31,73
2019-10-21 13:19:02,73
2019-10-21 13:19:07,73
2019-10-21 13:19:09,73
2019-10-21 13:19:10,73
2019-10-21 13:19:15,73
2019-10-21 13:19:58,72
2019-10-21 13:19:59,72
2019-10-21 13:20:01,74
2019-10-21 13:20:03,74
2019-10-21 13:20:04,74
2019-10-21 13:20:15,73
2019-10-21 13:21:01,73
2019-10-21 13:21:02,73
2019-10-21 13:21:07,74
2019-10-21 13:21:12,74
2019-10-21 13:21:34,73
2019-10-21 13:21:47,73
2019-10-21 13:21:49,74
2019-10-21 13:21:52,74
2019-10-21 13:21:56,74
2019-10-21 13:24:18,74
2019-10-21 13:24:23,73
2019-10-21 13:24:28,73
2019-10-21 13:24:29,72
2019-10-21 13:37:20,71
2019-10-21 13:37:21,72
2019-10-21 13:37:23,71
2019-10-21 13:37:24,67
2019-10-21 13:37:25,66
2019-10-21 13:37:26,68
2019-10-21 13:37:27,71
2019-10-21 13:37:34,76
2019-10-21 13:37:35,81
2019-10-21 13:37:36,83
2019-10-21 13:37:37,81
2019-10-21 13:37:39,80
2019-10-21 13:37:40,82
2019-10-21 13:37:41,84
2019-10-21 13:37:42,85
2019-10-21 13:37:43,85
2019-10-21 13:37:48,85
2019-10-21 13:37:53,85
2019-10-21 13:37:56,86
2019-10-21 13:37:57,84
2019-10-21 13:38:00,84
2019-10-21 13:38:01,87
2019-10-21 13:38:02,89
2019-10-21 13:38:03,91
2019-10-21 13:38:04,92
2019-10-21 13:38:07,91
2019-10-21 13:38:08,90
2019-10-21 13:38:09,89
2019-10-21 13:38:10,87
2019-10-21 13:38:12,86
2019-10-21 13:38:13,85
2019-10-21 13:38:14,86
2019-10-21 13:38:15,86
2019-10-21 13:38:20,86
2019-10-21 13:38:25,85
2019-10-21 13:38:26,84
2019-10-21 13:38:27,81
2019-10-21 13:38:29,80
2019-10-21 13:38:30,81
2019-10-21 13:38:31,84
2019-10-21 13:38:32,89
2019-10-21 13:38:34,93
2019-10-21 13:38:35,94
2019-10-21 13:38:37,94
2019-10-21 13:38:39,95
2019-10-21 13:38:40,93
2019-10-21 13:38:41,90
2019-10-21 13:38:42,87
2019-10-21 13:38:45,84
2019-10-21 13:38:46,80
2019-10-21 13:38:47,76
2019-10-21 13:38:48,75
2019-10-21 13:38:50,75
2019-10-21 13:38:51,74
2019-10-21 13:38:52,72
2019-10-21 13:38:53,73
2019-10-21 13:38:54,76
2019-10-21 13:38:56,78
2019-10-21 13:38:57,79
2019-10-21 13:38:58,81
2019-10-21 13:38:59,82
2019-10-21 13:39:01,83
2019-10-21 13:39:05,84
2019-10-21 13:39:08,86
2019-10-21 13:39:09,87
2019-10-21 13:39:10,89
2019-10-21 13:39:12,90
2019-10-21 13:39:13,91
2019-10-21 13:39:14,90
2019-10-21 13:39:15,87
2019-10-21 13:39:16,84
2019-10-21 13:39:18,82
2019-10-21 13:39:19,79
2019-10-21 13:39:20,74
2019-10-21 13:39:21,70
2019-10-21 13:39:23,70
2019-10-21 13:39:24,73
2019-10-21 13:39:25,76
2019-10-21 13:39:26,79
2019-10-21 13:39:28,82
2019-10-21 13:39:31,86
2019-10-21 13:39:32,89
2019-10-21 13:39:34,91
2019-10-21 13:39:35,92
2019-10-21 13:39:40,90
2019-10-21 13:39:41,88
2019-10-21 13:39:42,88
2019-10-21 13:39:43,89
2019-10-21 13:39:46,90
2019-10-21 13:39:50,89
2019-10-21 13:39:51,84
2019-10-21 13:39:52,80
2019-10-21 13:39:53,78
2019-10-21 13:39:54,77
2019-10-21 13:39:56,77
2019-10-21 13:39:57,78
2019-10-21 13:39:59,79
2019-10-21 13:40:01,82
2019-10-21 13:40:02,85
2019-10-21 13:40:03,87
2019-10-21 13:40:04,88
2019-10-21 13:40:05,87
2019-10-21 13:40:10,85
2019-10-21 13:40:12,84
2019-10-21 13:40:13,83
2019-10-21 13:40:14,82
2019-10-21 13:40:15,83
2019-10-21 13:40:17,84
2019-10-21 13:40:23,85
2019-10-21 13:40:25,86
2019-10-21 13:40:29,85
2019-10-21 13:40:30,84
2019-10-21 13:40:32,83
2019-10-21 13:40:36,85
2019-10-21 13:40:39,90
2019-10-21 13:40:40,94
2019-10-21 13:40:41,95
2019-10-21 13:40:42,95
2019-10-21 13:40:45,92
2019-10-21 13:40:46,88
2019-10-21 13:40:47,87
2019-10-21 13:40:48,87
2019-10-21 13:40:50,87
2019-10-21 13:40:51,86
2019-10-21 13:40:54,83
2019-10-21 13:40:56,81
2019-10-21 13:40:57,80
2019-10-21 13:40:58,78
2019-10-21 13:40:59,79
2019-10-21 13:41:01,84
2019-10-21 13:41:02,88
2019-10-21 13:41:03,90
2019-10-21 13:41:04,91
2019-10-21 13:41:06,92
2019-10-21 13:41:07,91
2019-10-21 13:41:08,90
2019-10-21 13:41:09,89
2019-10-21 13:41:10,88
2019-10-21 13:41:15,87
2019-10-21 13:41:17,86
2019-10-21 13:41:19,85
2019-10-21 13:41:20,86
2019-10-21 13:41:21,87
2019-10-21 13:41:23,88
2019-10-21 13:41:24,89
2019-10-21 13:41:26,88
2019-10-21 13:41:28,86
2019-10-21 13:41:29,83
2019-10-21 13:41:30,81
2019-10-21 13:41:31,80
2019-10-21 13:41:32,79
2019-10-21 13:41:37,80
2019-10-21 13:41:39,81
2019-10-21 13:41:41,82
2019-10-21 13:41:42,83
2019-10-21 13:41:43,84
2019-10-21 13:41:46,85
2019-10-21 13:41:47,86
2019-10-21 13:41:48,85
2019-10-21 13:41:50,85
2019-10-21 13:41:55,86
2019-10-21 13:41:56,87
2019-10-21 13:41:58,88
2019-10-21 13:41:59,88
2019-10-21 13:42:01,87
2019-10-21 13:42:02,86
2019-10-21 13:42:03,85
2019-10-21 13:42:06,86
2019-10-21 13:42:07,86
2019-10-21 13:42:09,85
2019-10-21 13:42:10,84
2019-10-21 13:42:13,83
2019-10-21 13:42:14,82
2019-10-21 13:42:15,79
2019-10-21 13:42:18,78
2019-10-21 13:42:19,77
2019-10-21 13:42:20,76
2019-10-21 13:42:21,78
2019-10-21 13:42:24,79
2019-10-21 13:42:25,79
2019-10-21 13:42:29,79
2019-10-21 13:42:30,80
2019-10-21 13:42:32,82
2019-10-21 13:42:34,84
2019-10-21 13:42:35,85
2019-10-21 13:42:36,85
2019-10-21 13:42:37,86
2019-10-21 13:42:39,85
2019-10-21 13:42:40,83
2019-10-21 13:42:41,81
2019-10-21 13:42:42,80
2019-10-21 13:42:44,81
2019-10-21 13:42:48,82
2019-10-21 13:42:51,83
2019-10-21 13:42:55,82
2019-10-21 13:42:56,80
2019-10-21 13:42:57,78
2019-10-21 13:42:58,77
2019-10-21 13:42:59,79
2019-10-21 13:43:01,82
2019-10-21 13:43:02,84
2019-10-21 13:43:07,84
2019-10-21 13:43:08,82
2019-10-21 13:43:09,81
2019-10-21 13:43:11,80
2019-10-21 13:43:12,81
2019-10-21 13:43:14,82
2019-10-21 13:43:15,83
2019-10-21 13:43:17,84
2019-10-21 13:43:21,85
2019-10-21 13:43:23,86
2019-10-21 13:43:25,85
2019-10-21 13:43:26,84
2019-10-21 13:43:31,83
2019-10-21 13:43:33,81
2019-10-21 13:43:35,80
2019-10-21 13:43:36,79
2019-10-21 13:43:37,80
2019-10-21 13:43:39,81
2019-10-21 13:43:40,82
2019-10-21 13:43:41,81
2019-10-21 13:43:42,78
2019-10-21 13:43:44,74
2019-10-21 13:43:45,69
2019-10-21 13:43:46,68
2019-10-21 13:43:47,71
2019-10-21 13:43:48,74
2019-10-21 13:43:50,76
2019-10-21 13:43:51,77
2019-10-21 13:43:56,76
2019-10-21 13:43:57,76
2019-10-21 13:43:58,77
2019-10-21 13:43:59,79
2019-10-21 13:44:01,83
